week,actors,cumulative
11,"[{'name': '@foxandfriends', 'frequency': 3}, {'name': '@FoxNews', 'frequency': 2}, {'name': '@IngrahamAngle', 'frequency': 1}, {'name': '@GOP', 'frequency': 2}, {'name': '@realDonaldTrump', 'frequency': 71}, {'name': '@', 'frequency': 140}, {'name': '@oreillyfactor', 'frequency': 2}, {'name': '@piersmorgan', 'frequency': 1}, {'name': '@Trump', 'frequency': 1}, {'name': '@J', 'frequency': 12}, {'name': '@The', 'frequency': 1}, {'name': '@jacknicklaus', 'frequency': 1}, {'name': '@Macys', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 1}, {'name': '@BarackObama', 'frequency': 1}, {'name': '@nbc', 'frequency': 1}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@espn', 'frequency': 1}, {'name': '@Lord', 'frequency': 1}, {'name': '@MissUSA', 'frequency': 1}, {'name': '@GolfMagazine', 'frequency': 1}, {'name': '@Yankees', 'frequency': 2}]",249
12,"[{'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 128}, {'name': '@mike', 'frequency': 1}, {'name': '@', 'frequency': 161}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@oreillyfactor', 'frequency': 1}, {'name': '@DanScavino', 'frequency': 1}, {'name': '@Mike', 'frequency': 2}, {'name': '@Trump', 'frequency': 4}, {'name': '@greta', 'frequency': 2}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@J', 'frequency': 9}, {'name': '@The', 'frequency': 4}, {'name': '@TrumpDoral', 'frequency': 2}, {'name': '@bobvanderplaats', 'frequency': 1}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@gretawire', 'frequency': 2}, {'name': '@TrumpPanama', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@Rosie', 'frequency': 2}, {'name': '@JUrciuoli19', 'frequency': 2}, {'name': '@AlexSalmond', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}, {'name': '@DannyZuker', 'frequency': 2}, {'name': '@VattenfallGroup', 'frequency': 1}, {'name': '@theFAMiLYLEADER', 'frequency': 1}]",336
13,"[{'name': '@realDonaldTrump', 'frequency': 55}, {'name': '@', 'frequency': 118}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 2}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@EWErickson', 'frequency': 1}, {'name': '@J', 'frequency': 8}, {'name': '@The', 'frequency': 5}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@bobvanderplaats', 'frequency': 2}, {'name': '@Macys', 'frequency': 1}, {'name': '@not', 'frequency': 3}, {'name': '@TrumpGolfDC', 'frequency': 1}, {'name': '@trumpwinery', 'frequency': 1}, {'name': '@JUrciuoli19', 'frequency': 2}, {'name': '@ArsenioHall', 'frequency': 1}, {'name': '@theFAMiLYLEADER', 'frequency': 4}]",207
14,"[{'name': '@EricTrump', 'frequency': 2}, {'name': '@realDonaldTrump', 'frequency': 32}, {'name': '@', 'frequency': 102}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@TheBrodyFile', 'frequency': 1}, {'name': '@chucktodd', 'frequency': 3}, {'name': '@VanityFair', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 2}, {'name': '@Mike', 'frequency': 3}, {'name': '@Trump', 'frequency': 4}, {'name': '@greta', 'frequency': 1}, {'name': '@TraceAdkins', 'frequency': 1}, {'name': '@ThisWeekABC', 'frequency': 1}, {'name': '@J', 'frequency': 6}, {'name': '@PeteRose', 'frequency': 1}, {'name': '@GolfChannel', 'frequency': 1}, {'name': '@The', 'frequency': 4}, {'name': '@David', 'frequency': 1}, {'name': '@bobvanderplaats', 'frequency': 3}, {'name': '@Macys', 'frequency': 2}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@TrumpLasVegas', 'frequency': 1}, {'name': '@ApprenticeNBC', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@kyleraccio', 'frequency': 2}, {'name': '@TrumpGolfDC', 'frequency': 1}, {'name': '@nikkio', 'frequency': 1}, {'name': '@GolfMagazine', 'frequency': 1}, {'name': '@trumpwinery', 'frequency': 2}, {'name': '@AlexSalmond', 'frequency': 3}, {'name': '@JustinRose99', 'frequency': 1}, {'name': '@VattenfallGroup', 'frequency': 1}, {'name': '@theFAMiLYLEADER', 'frequency': 3}]",193
15,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@BreitbartNews', 'frequency': 1}, {'name': '@marklevinshow', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 68}, {'name': '@', 'frequency': 137}, {'name': '@DanScavino', 'frequency': 2}, {'name': '@ericbolling', 'frequency': 1}, {'name': '@Trump', 'frequency': 3}, {'name': '@greta', 'frequency': 2}, {'name': '@realdonaldtrump', 'frequency': 2}, {'name': '@meetthepress', 'frequency': 1}, {'name': '@ThisWeekABC', 'frequency': 6}, {'name': '@GStephanopoulos', 'frequency': 1}, {'name': '@J', 'frequency': 4}, {'name': '@PeteRose', 'frequency': 1}, {'name': '@politico', 'frequency': 1}, {'name': '@The', 'frequency': 4}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@Macys', 'frequency': 2}, {'name': '@HuffingtonPost', 'frequency': 9}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@ariannahuff', 'frequency': 8}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@gretawire', 'frequency': 2}, {'name': '@TrumpChicago', 'frequency': 1}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@not', 'frequency': 2}, {'name': '@kyleraccio', 'frequency': 1}, {'name': '@Lord', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 1}, {'name': '@ForQ2', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}, {'name': '@Toure', 'frequency': 2}, {'name': '@theFAMiLYLEADER', 'frequency': 3}]",275
16,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@BreitbartNews', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 49}, {'name': '@', 'frequency': 86}, {'name': '@DanScavino', 'frequency': 1}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 7}, {'name': '@greta', 'frequency': 4}, {'name': '@realdonaldtrump', 'frequency': 2}, {'name': '@J', 'frequency': 5}, {'name': '@politico', 'frequency': 1}, {'name': '@The', 'frequency': 3}, {'name': '@stuartpstevens', 'frequency': 3}, {'name': '@Macys', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 6}, {'name': '@gretawire', 'frequency': 4}, {'name': '@TrumpLasVegas', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 2}, {'name': '@Yankees', 'frequency': 1}, {'name': '@DannyZuker', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}, {'name': '@NYMag', 'frequency': 2}, {'name': '@Toure', 'frequency': 1}]",185
17,"[{'name': '@washingtonpost', 'frequency': 1}, {'name': '@foxandfriends', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 2}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@marklevinshow', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 58}, {'name': '@mike', 'frequency': 1}, {'name': '@', 'frequency': 105}, {'name': '@IvankaTrump', 'frequency': 2}, {'name': '@DanScavino', 'frequency': 1}, {'name': '@CNBC', 'frequency': 3}, {'name': '@kimguilfoyle', 'frequency': 2}, {'name': '@J', 'frequency': 8}, {'name': '@The', 'frequency': 3}, {'name': '@Macys', 'frequency': 1}, {'name': '@AmSpec', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@kyleraccio', 'frequency': 1}, {'name': '@nikkio', 'frequency': 1}, {'name': '@bahia6085', 'frequency': 1}, {'name': '@VinceMcMahon', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}, {'name': '@Toure', 'frequency': 1}]",199
18,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@BretBaier', 'frequency': 2}, {'name': '@marklevinshow', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 79}, {'name': '@mike', 'frequency': 1}, {'name': '@', 'frequency': 112}, {'name': '@DanScavino', 'frequency': 1}, {'name': '@Trump', 'frequency': 3}, {'name': '@J', 'frequency': 7}, {'name': '@The', 'frequency': 1}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@David', 'frequency': 1}, {'name': '@HowardStern', 'frequency': 1}, {'name': '@Macys', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@billmaher', 'frequency': 2}, {'name': '@TrumpWaikiki', 'frequency': 1}, {'name': '@kyleraccio', 'frequency': 1}, {'name': '@ArsenioHall', 'frequency': 2}, {'name': '@fundanything', 'frequency': 1}, {'name': '@Toure', 'frequency': 1}]",222
19,"[{'name': '@EricTrump', 'frequency': 3}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 80}, {'name': '@NBC', 'frequency': 1}, {'name': '@', 'frequency': 113}, {'name': '@IvankaTrump', 'frequency': 2}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 4}, {'name': '@greta', 'frequency': 1}, {'name': '@realdonaldtrump', 'frequency': 4}, {'name': '@AP', 'frequency': 1}, {'name': '@J', 'frequency': 8}, {'name': '@The', 'frequency': 6}, {'name': '@MissUniverse', 'frequency': 2}, {'name': '@BarackObama', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@SixteenChicago', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@not', 'frequency': 2}, {'name': '@TrumpGolfDC', 'frequency': 2}, {'name': '@bahia6085', 'frequency': 1}, {'name': '@MissUSA', 'frequency': 1}, {'name': '@VinceMcMahon', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}, {'name': '@ArsenioHall', 'frequency': 1}, {'name': '@ForQ2', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}, {'name': '@Toure', 'frequency': 8}]",251
20,"[{'name': '@seanhannity', 'frequency': 3}, {'name': '@foxandfriends', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 1}, {'name': '@BreitbartNews', 'frequency': 2}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 59}, {'name': '@mike', 'frequency': 1}, {'name': '@', 'frequency': 89}, {'name': '@realdonaldtrump', 'frequency': 2}, {'name': '@J', 'frequency': 3}, {'name': '@Macys', 'frequency': 1}, {'name': '@mcuban', 'frequency': 1}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@bahia6085', 'frequency': 1}, {'name': '@VinceMcMahon', 'frequency': 1}, {'name': '@ArsenioHall', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",169
21,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 30}, {'name': '@', 'frequency': 54}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@FoxNewsSunday', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 1}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 3}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@AP', 'frequency': 1}, {'name': '@Macys', 'frequency': 2}, {'name': '@BarbaraJWalters', 'frequency': 1}, {'name': '@pennjillette', 'frequency': 1}, {'name': '@ApprenticeNBC', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@TrumpGolfDC', 'frequency': 1}, {'name': '@VinceMcMahon', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}, {'name': '@maathewdavis', 'frequency': 1}, {'name': '@fundanything', 'frequency': 2}]",107
22,"[{'name': '@FoxNews', 'frequency': 2}, {'name': '@marklevinshow', 'frequency': 1}, {'name': '@GOP', 'frequency': 2}, {'name': '@realDonaldTrump', 'frequency': 20}, {'name': '@mike', 'frequency': 1}, {'name': '@NBC', 'frequency': 1}, {'name': '@', 'frequency': 45}, {'name': '@Trump', 'frequency': 5}, {'name': '@J', 'frequency': 1}, {'name': '@The', 'frequency': 2}, {'name': '@TrumpDoral', 'frequency': 2}, {'name': '@pennjillette', 'frequency': 1}, {'name': '@nbc', 'frequency': 1}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@bahia6085', 'frequency': 2}, {'name': '@Yankees', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",89
23,"[{'name': '@foxandfriends', 'frequency': 1}, {'name': '@GOP', 'frequency': 4}, {'name': '@realDonaldTrump', 'frequency': 38}, {'name': '@', 'frequency': 73}, {'name': '@IvankaTrump', 'frequency': 2}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 8}, {'name': '@Trump', 'frequency': 6}, {'name': '@greta', 'frequency': 1}, {'name': '@TrumpScotland', 'frequency': 1}, {'name': '@J', 'frequency': 3}, {'name': '@The', 'frequency': 1}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@David', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@BarackObama', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 2}, {'name': '@TrumpWaikiki', 'frequency': 1}, {'name': '@AGSchneiderman', 'frequency': 1}]",149
24,"[{'name': '@foxandfriends', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 1}, {'name': '@WSJ', 'frequency': 2}, {'name': '@realDonaldTrump', 'frequency': 49}, {'name': '@CBSNews', 'frequency': 1}, {'name': '@nypost', 'frequency': 1}, {'name': '@', 'frequency': 92}, {'name': '@piersmorgan', 'frequency': 1}, {'name': '@Mike', 'frequency': 2}, {'name': '@Trump', 'frequency': 5}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@TrumpScotland', 'frequency': 1}, {'name': '@MELANIATRUMP', 'frequency': 2}, {'name': '@J', 'frequency': 2}, {'name': '@The', 'frequency': 1}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@jacknicklaus', 'frequency': 2}, {'name': '@Macys', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpLasVegas', 'frequency': 3}, {'name': '@bahia6085', 'frequency': 1}, {'name': '@GolfMagazine', 'frequency': 1}, {'name': '@JUrciuoli19', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}, {'name': '@DanAmira', 'frequency': 21}, {'name': '@NYMag', 'frequency': 25}]",220
25,"[{'name': '@realDonaldTrump', 'frequency': 29}, {'name': '@', 'frequency': 53}, {'name': '@VanityFair', 'frequency': 1}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 5}, {'name': '@J', 'frequency': 3}, {'name': '@The', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 3}, {'name': '@AmSpec', 'frequency': 10}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 1}, {'name': '@TrumpGolfLA', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}, {'name': '@DanAmira', 'frequency': 3}, {'name': '@NYMag', 'frequency': 7}]",122
26,"[{'name': '@WSJ', 'frequency': 1}, {'name': '@DRUDGE', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 33}, {'name': '@mike', 'frequency': 1}, {'name': '@NBC', 'frequency': 1}, {'name': '@', 'frequency': 69}, {'name': '@SenTedCruz', 'frequency': 1}, {'name': '@Trump', 'frequency': 5}, {'name': '@J', 'frequency': 2}, {'name': '@rushlimbaugh', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@billmaher', 'frequency': 4}, {'name': '@TrumpPanama', 'frequency': 1}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@trumpwinery', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 5}, {'name': '@DannyZuker', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",132
27,"[{'name': '@seanhannity', 'frequency': 1}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 27}, {'name': '@kilmeade', 'frequency': 1}, {'name': '@', 'frequency': 50}, {'name': '@Trump', 'frequency': 1}, {'name': '@J', 'frequency': 3}, {'name': '@The', 'frequency': 1}, {'name': '@David', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 2}, {'name': '@nbc', 'frequency': 1}, {'name': '@AmSpec', 'frequency': 3}, {'name': '@AGSchneiderman', 'frequency': 3}, {'name': '@AlexSalmond', 'frequency': 1}]",97
